iter	Passed	Remaining
0	1	708
1	2	644
2	3	625
3	4	616
4	6	618
5	7	630
6	8	629
7	10	621
8	11	616
9	12	612
10	13	608
11	14	605
12	16	601
13	17	596
14	18	594
15	19	593
16	20	591
17	22	594
18	23	594
19	24	594
20	25	589
21	26	586
22	28	585
23	29	583
24	30	582
25	31	580
26	33	579
27	34	576
28	35	575
29	36	574
30	37	574
31	39	578
32	40	577
33	42	575
34	42	570
35	44	569
36	45	569
37	46	567
38	47	566
39	49	564
40	50	563
41	51	562
42	52	561
43	54	563
44	55	563
45	56	560
46	58	559
47	59	558
48	60	557
49	61	555
50	62	554
51	64	553
52	65	551
53	66	550
54	67	549
55	69	548
56	70	548
57	71	546
58	72	545
59	74	543
60	75	542
61	76	541
62	77	539
63	79	538
64	80	537
65	81	536
66	82	535
67	84	534
68	85	534
69	87	535
70	88	534
71	89	533
72	91	532
73	92	531
74	93	529
75	94	528
76	95	527
77	97	525
78	98	524
79	99	522
80	100	521
81	102	521
82	103	520
83	104	518
84	106	517
85	107	516
86	108	515
87	109	513
88	110	512
89	112	511
90	113	509
91	114	508
92	115	507
93	117	506
94	118	505
95	119	504
96	121	503
97	122	502
98	123	501
99	124	499
100	126	498
101	127	497
102	128	496
103	130	495
104	131	493
105	132	492
106	133	491
107	135	491
108	136	490
109	137	488
110	139	487
111	140	485
112	141	484
113	142	483
114	143	481
115	145	480
116	146	479
117	147	477
118	148	477
119	150	476
120	151	475
121	152	473
122	154	472
123	155	471
124	156	469
125	157	468
126	159	467
127	160	465
128	161	464
129	162	462
130	163	461
131	165	460
132	166	459
133	167	458
134	169	457
135	170	455
136	171	454
137	172	453
138	174	451
139	175	450
140	176	449
141	177	447
142	178	446
143	180	445
144	181	444
145	182	443
146	184	442
147	185	441
148	186	439
149	187	438
150	189	437
151	190	436
152	191	434
153	193	433
154	194	432
155	195	431
156	197	430
157	198	429
158	199	428
159	201	427
160	202	426
161	203	424
162	204	423
163	206	422
164	207	420
165	208	419
166	209	418
167	211	417
168	212	416
169	213	414
170	214	413
171	216	412
172	217	410
173	218	409
174	219	408
175	221	406
176	222	405
177	223	404
178	224	403
179	225	401
180	227	400
181	228	399
182	229	398
183	231	397
184	232	395
185	233	394
186	234	393
187	236	391
188	237	390
189	238	389
190	239	388
191	241	386
192	242	385
193	243	384
194	245	383
195	246	382
196	247	380
197	248	379
198	250	378
199	251	376
200	252	375
201	253	374
202	254	373
203	256	371
204	257	370
205	258	369
206	259	367
207	261	366
208	262	365
209	263	364
210	264	362
211	266	361
212	267	360
213	268	358
214	269	357
215	270	356
216	272	355
217	273	353
218	274	352
219	276	351
220	277	350
221	279	349
222	280	348
223	281	346
224	282	345
225	283	344
226	285	343
227	286	341
228	287	340
229	288	339
230	290	337
231	291	336
232	292	335
233	294	334
234	295	333
235	296	331
236	298	330
237	299	329
238	300	328
239	301	326
240	302	325
241	304	324
242	305	323
243	306	321
244	308	320
245	309	319
246	310	317
247	311	316
248	312	315
249	314	314
250	315	312
251	316	311
252	317	310
253	319	308
254	320	307
255	321	306
256	322	305
257	324	304
258	325	302
259	326	301
260	327	300
261	328	298
262	329	297
263	330	295
264	332	294
265	333	293
266	334	292
267	335	290
268	337	289
269	338	288
270	340	287
271	341	286
272	342	284
273	343	283
274	345	282
275	346	281
276	347	279
277	348	278
278	349	277
279	351	275
280	352	274
281	353	273
282	355	272
283	356	271
284	357	269
285	359	268
286	360	267
287	361	266
288	362	264
289	363	263
290	365	262
291	366	260
292	367	259
293	368	258
294	369	257
295	371	256
296	372	254
297	374	253
298	375	252
299	376	250
300	377	249
301	378	248
302	380	247
303	381	245
304	382	244
305	383	243
306	385	242
307	386	240
308	387	239
309	389	238
310	390	237
311	391	236
312	393	234
313	394	233
314	395	232
315	396	231
316	398	229
317	399	228
318	400	227
319	402	226
320	403	225
321	404	223
322	406	222
323	407	221
324	408	219
325	409	218
326	411	217
327	412	216
328	413	214
329	414	213
330	415	212
331	417	211
332	418	210
333	420	208
334	421	207
335	422	206
336	423	204
337	424	203
338	425	202
339	427	201
340	428	199
341	429	198
342	430	197
343	432	195
344	433	194
345	434	193
346	436	192
347	437	191
348	438	189
349	439	188
350	441	187
351	442	185
352	443	184
353	444	183
354	445	182
355	447	180
356	448	179
357	449	178
358	451	177
359	452	176
360	453	174
361	455	173
362	456	172
363	457	170
364	458	169
365	460	168
366	461	167
367	462	165
368	463	164
369	464	163
370	466	162
371	467	160
372	468	159
373	470	158
374	471	157
375	472	155
376	473	154
377	475	153
378	476	152
379	477	150
380	478	149
381	479	148
382	481	147
383	482	145
384	483	144
385	485	143
386	486	142
387	487	140
388	488	139
389	489	138
390	491	136
391	492	135
392	493	134
393	494	133
394	496	131
395	497	130
396	498	129
397	500	128
398	501	126
399	502	125
400	503	124
401	505	123
402	506	121
403	507	120
404	508	119
405	510	118
406	511	116
407	512	115
408	514	114
409	515	113
410	516	111
411	517	110
412	519	109
413	520	108
414	521	106
415	522	105
416	523	104
417	525	103
418	526	101
419	527	100
420	529	99
421	530	98
422	531	96
423	532	95
424	534	94
425	535	92
426	536	91
427	537	90
428	538	89
429	540	87
430	541	86
431	542	85
432	543	84
433	545	82
434	546	81
435	547	80
436	548	79
437	550	77
438	551	76
439	552	75
440	553	74
441	554	72
442	556	71
443	557	70
444	558	69
445	559	67
446	561	66
447	562	65
448	563	64
449	564	62
450	566	61
451	567	60
452	568	58
453	569	57
454	571	56
455	572	55
456	573	53
457	574	52
458	576	51
459	577	50
460	578	48
461	579	47
462	581	46
463	582	45
464	583	43
465	584	42
466	586	41
467	587	40
468	588	38
469	589	37
470	591	36
471	592	35
472	593	33
473	595	32
474	596	31
475	597	30
476	599	28
477	600	27
478	601	26
479	602	25
480	604	23
481	605	22
482	606	21
483	607	20
484	609	18
485	610	17
486	611	16
487	613	15
488	614	13
489	615	12
490	616	11
491	617	10
492	619	8
493	620	7
494	621	6
495	622	5
496	624	3
497	625	2
498	626	1
499	628	0
